=== Análise de Erros ===

Erros de POS Tagging (632):
Gold: INTJ | Predito: VERB
Gold: NUM | Predito: VERB
Gold: VERB | Predito: ADJ
Gold: VERB | Predito: NOUN
Gold: VERB | Predito: AUX
Gold: PRON | Predito: SCONJ
Gold: PRON | Predito: SCONJ
Gold: PRON | Predito: SCONJ
Gold: NOUN | Predito: PROPN
Gold: X | Predito: PROPN
Gold: NOUN | Predito: ADJ
Gold: NOUN | Predito: ADJ
Gold: VERB | Predito: ADJ
Gold: DET | Predito: ADP
Gold: NOUN | Predito: PROPN
Gold: ADV | Predito: CCONJ
Gold: SCONJ | Predito: ADP
Gold: PROPN | Predito: NOUN
Gold: ADV | Predito: ADP
Gold: NOUN | Predito: PROPN
Gold: VERB | Predito: ADJ
Gold: PROPN | Predito: NOUN
Gold: ADJ | Predito: DET
Gold: NOUN | Predito: PROPN
Gold: ADP | Predito: DET
Gold: NOUN | Predito: VERB
Gold: PROPN | Predito: ADJ
Gold: NOUN | Predito: PROPN
Gold: PROPN | Predito: NOUN
Gold: ADV | Predito: SCONJ
Gold: VERB | Predito: NOUN
Gold: VERB | Predito: ADJ
Gold: PROPN | Predito: CCONJ
Gold: NOUN | Predito: PROPN
Gold: PROPN | Predito: ADP
Gold: PROPN | Predito: CCONJ
Gold: PROPN | Predito: NOUN
Gold: SCONJ | Predito: PRON
Gold: AUX | Predito: VERB
Gold: ADJ | Predito: VERB
Gold: VERB | Predito: AUX
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: PROPN | Predito: ADP
Gold: ADV | Predito: PRON
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: ADJ
Gold: NOUN | Predito: DET
Gold: ADP | Predito: DET
Gold: NUM | Predito: DET
Gold: PROPN | Predito: NOUN
Gold: NOUN | Predito: VERB
Gold: ADJ | Predito: ADV
Gold: ADV | Predito: ADP
Gold: VERB | Predito: NOUN
Gold: VERB | Predito: PROPN
Gold: PRON | Predito: DET
Gold: SCONJ | Predito: PRON
Gold: VERB | Predito: AUX
Gold: VERB | Predito: AUX
Gold: NOUN | Predito: ADJ
Gold: DET | Predito: PRON
Gold: NOUN | Predito: VERB
Gold: DET | Predito: PRON
Gold: NOUN | Predito: VERB
Gold: NOUN | Predito: ADJ
Gold: PRON | Predito: SCONJ
Gold: SCONJ | Predito: ADP
Gold: AUX | Predito: VERB
Gold: NOUN | Predito: PROPN
Gold: DET | Predito: PRON
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: ADJ | Predito: PROPN
Gold: ADJ | Predito: PROPN
Gold: SCONJ | Predito: ADP
Gold: ADP | Predito: DET
Gold: VERB | Predito: AUX
Gold: NUM | Predito: DET
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: ADP | Predito: DET
Gold: ADJ | Predito: NOUN
Gold: NOUN | Predito: ADP
Gold: SCONJ | Predito: ADP
Gold: ADV | Predito: ADJ
Gold: NUM | Predito: PROPN
Gold: NUM | Predito: ADJ
Gold: NOUN | Predito: VERB
Gold: ADJ | Predito: VERB
Gold: SCONJ | Predito: ADP
Gold: VERB | Predito: NOUN
Gold: PRON | Predito: PROPN
Gold: PROPN | Predito: NOUN
Gold: DET | Predito: PROPN
Gold: NUM | Predito: PROPN
Gold: ADJ | Predito: VERB
Gold: PRON | Predito: SCONJ
Gold: VERB | Predito: ADV
Gold: ADV | Predito: ADP
Gold: SCONJ | Predito: ADV
Gold: ADP | Predito: DET
Gold: SCONJ | Predito: PRON
Gold: ADP | Predito: DET
Gold: ADJ | Predito: NOUN
Gold: INTJ | Predito: AUX
Gold: ADP | Predito: CCONJ
Gold: NOUN | Predito: ADJ
Gold: CCONJ | Predito: PROPN
Gold: DET | Predito: ADV
Gold: VERB | Predito: PROPN
Gold: PRON | Predito: PROPN
Gold: PROPN | Predito: ADP
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: ADJ
Gold: VERB | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: SCONJ | Predito: ADP
Gold: DET | Predito: PRON
Gold: DET | Predito: NUM
Gold: PROPN | Predito: NOUN
Gold: ADP | Predito: SCONJ
Gold: ADV | Predito: ADP
Gold: ADJ | Predito: PROPN
Gold: VERB | Predito: NOUN
Gold: DET | Predito: PRON
Gold: SCONJ | Predito: ADP
Gold: VERB | Predito: PROPN
Gold: PRON | Predito: PROPN
Gold: ADP | Predito: PRON
Gold: ADJ | Predito: NOUN
Gold: ADP | Predito: VERB
Gold: VERB | Predito: ADJ
Gold: ADP | Predito: VERB
Gold: ADJ | Predito: NOUN
Gold: ADJ | Predito: VERB
Gold: ADV | Predito: SCONJ
Gold: SCONJ | Predito: ADV
Gold: VERB | Predito: AUX
Gold: NOUN | Predito: PROPN
Gold: ADJ | Predito: VERB
Gold: PRON | Predito: SCONJ
Gold: NOUN | Predito: PROPN
Gold: VERB | Predito: PROPN
Gold: PRON | Predito: SCONJ
Gold: PRON | Predito: SCONJ
Gold: PRON | Predito: SCONJ
Gold: DET | Predito: ADV
Gold: VERB | Predito: AUX
Gold: DET | Predito: NUM
Gold: ADV | Predito: NOUN
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: DET | Predito: NUM
Gold: DET | Predito: PRON
Gold: VERB | Predito: NOUN
Gold: VERB | Predito: AUX
Gold: VERB | Predito: AUX
Gold: VERB | Predito: AUX
Gold: PRON | Predito: SCONJ
Gold: ADJ | Predito: NOUN
Gold: NOUN | Predito: VERB
Gold: INTJ | Predito: ADJ
Gold: ADJ | Predito: NOUN
Gold: NUM | Predito: PROPN
Gold: PROPN | Predito: NOUN
Gold: PROPN | Predito: NOUN
Gold: NOUN | Predito: PROPN
Gold: PROPN | Predito: NOUN
Gold: PROPN | Predito: NOUN
Gold: PRON | Predito: SCONJ
Gold: ADJ | Predito: NOUN
Gold: ADJ | Predito: NOUN
Gold: DET | Predito: PROPN
Gold: VERB | Predito: AUX
Gold: PRON | Predito: ADV
Gold: VERB | Predito: ADJ
Gold: NUM | Predito: DET
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: VERB
Gold: NOUN | Predito: VERB
Gold: SCONJ | Predito: PRON
Gold: NOUN | Predito: ADJ
Gold: NOUN | Predito: ADJ
Gold: NOUN | Predito: ADJ
Gold: NOUN | Predito: ADJ
Gold: DET | Predito: PRON
Gold: ADV | Predito: NOUN
Gold: NOUN | Predito: PROPN
Gold: PROPN | Predito: NOUN
Gold: ADJ | Predito: VERB
Gold: X | Predito: PROPN
Gold: X | Predito: AUX
Gold: X | Predito: PROPN
Gold: ADP | Predito: SCONJ
Gold: NOUN | Predito: PROPN
Gold: X | Predito: ADJ
Gold: ADJ | Predito: NOUN
Gold: ADJ | Predito: PROPN
Gold: ADJ | Predito: VERB
Gold: SCONJ | Predito: PRON
Gold: ADJ | Predito: VERB
Gold: SCONJ | Predito: PRON
Gold: VERB | Predito: AUX
Gold: NOUN | Predito: ADJ
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: NOUN | Predito: PROPN
Gold: NUM | Predito: SYM
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: VERB | Predito: PROPN
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: X | Predito: PROPN
Gold: DET | Predito: PRON
Gold: NOUN | Predito: ADJ
Gold: PROPN | Predito: NOUN
Gold: NOUN | Predito: ADJ
Gold: NOUN | Predito: ADJ
Gold: NOUN | Predito: PROPN
Gold: ADV | Predito: VERB
Gold: PRON | Predito: SCONJ
Gold: NOUN | Predito: ADJ
Gold: ADJ | Predito: NOUN
Gold: DET | Predito: PRON
Gold: PROPN | Predito: NOUN
Gold: NOUN | Predito: PROPN
Gold: ADJ | Predito: VERB
Gold: PRON | Predito: SCONJ
Gold: ADJ | Predito: NOUN
Gold: PRON | Predito: DET
Gold: ADJ | Predito: VERB
Gold: ADJ | Predito: VERB
Gold: NOUN | Predito: VERB
Gold: NUM | Predito: DET
Gold: PRON | Predito: NUM
Gold: CCONJ | Predito: ADV
Gold: ADV | Predito: SCONJ
Gold: DET | Predito: NUM
Gold: PROPN | Predito: NOUN
Gold: VERB | Predito: NOUN
Gold: ADP | Predito: DET
Gold: SCONJ | Predito: PRON
Gold: SCONJ | Predito: ADV
Gold: ADV | Predito: SCONJ
Gold: NOUN | Predito: AUX
Gold: VERB | Predito: PROPN
Gold: VERB | Predito: AUX
Gold: VERB | Predito: NOUN
Gold: NOUN | Predito: ADJ
Gold: VERB | Predito: AUX
Gold: PROPN | Predito: NOUN
Gold: NOUN | Predito: ADJ
Gold: PROPN | Predito: NOUN
Gold: ADJ | Predito: VERB
Gold: SCONJ | Predito: PRON
Gold: ADJ | Predito: NOUN
Gold: PRON | Predito: SCONJ
Gold: VERB | Predito: ADJ
Gold: ADJ | Predito: NOUN
Gold: ADJ | Predito: NOUN
Gold: PRON | Predito: SCONJ
Gold: ADP | Predito: DET
Gold: ADJ | Predito: NOUN
Gold: ADV | Predito: AUX
Gold: SCONJ | Predito: PRON
Gold: DET | Predito: PROPN
Gold: VERB | Predito: NOUN
Gold: ADV | Predito: ADP
Gold: NOUN | Predito: ADJ
Gold: PRON | Predito: SCONJ
Gold: AUX | Predito: VERB
Gold: PRON | Predito: SCONJ
Gold: NOUN | Predito: ADV
Gold: PROPN | Predito: ADP
Gold: PRON | Predito: SCONJ
Gold: ADP | Predito: DET
Gold: NUM | Predito: NOUN
Gold: DET | Predito: PRON
Gold: ADJ | Predito: VERB
Gold: ADJ | Predito: VERB
Gold: VERB | Predito: NOUN
Gold: SCONJ | Predito: AUX
Gold: DET | Predito: PRON
Gold: AUX | Predito: VERB
Gold: PRON | Predito: SCONJ
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: PRON
Gold: ADJ | Predito: NOUN
Gold: NOUN | Predito: PROPN
Gold: PRON | Predito: SCONJ
Gold: NUM | Predito: DET
Gold: PRON | Predito: SCONJ
Gold: AUX | Predito: SCONJ
Gold: SCONJ | Predito: ADP
Gold: PRON | Predito: SCONJ
Gold: PROPN | Predito: NUM
Gold: PROPN | Predito: NOUN
Gold: NUM | Predito: DET
Gold: PRON | Predito: SCONJ
Gold: PROPN | Predito: NOUN
Gold: NOUN | Predito: PROPN
Gold: NOUN | Predito: ADJ
Gold: ADP | Predito: DET
Gold: ADV | Predito: AUX
Gold: ADJ | Predito: NOUN
Gold: SCONJ | Predito: ADV
Gold: VERB | Predito: AUX
Gold: SCONJ | Predito: ADP
